Language,Training Hours,CER
lhu_Latn,33.4,1.1
lia_Latn,23.3,2.0
lid_Latn,63.6,0.5
lif_Deva,21.0,1.7
lij_Latn,22.9,5.1
lin_Latn,168.2,3.9
lip_Latn,26.3,2.7
lir_Latn,7.8,17.6
lis_Lisu,36.7,2.7
lit_Latn,93.1,3.4
lje_Latn,42.9,1.0
ljp_Latn,22.5,0.5
lkb_Latn,6.4,28.8
lke_Latn,6.9,16.2
lla_Latn,5.9,34.5
llg_Latn,1.6,1.1
lln_Latn,57.2,1.3
lme_Latn,16.7,2.7
lnd_Latn,42.7,0.3
lns_Latn,40.5,1.8
lnu_Latn,3.6,36.6
loa_Latn,4.8,11.3
lob_Latn,15.5,2.8
lok_Latn,47.1,2.2
lom_Latn,21.0,3.4
lon_Latn,38.6,0.9
loq_Latn,17.3,2.5
lrk_Arab,8.0,13.2
lsi_Latn,48.5,2.7
lsm_Latn,27.3,1.6
lss_Arab,6.9,18.1
ltg_Latn,7.1,7.9
lth_Latn,6.0,6.7
lto_Latn,6.4,28.8
ltz_Latn,9.9,5.9
lua_Latn,8.3,4.5
luc_Latn,45.9,1.0
lug_Latn,178.2,4.2
luo_Latn,290.9,5.7
lus_Latn,6.6,21.4
lwg_Latn,6.3,15.7
lwo_Latn,25.0,2.3
lww_Latn,33.9,3.2
lzz_Latn,4.9,2.4
maa_Latn,39.8,3.0
mab_Latn,7.1,31.9
mad_Latn,24.1,0.8
maf_Latn,4.4,60.2
mag_Deva,37.7,2.7
mah_Latn,17.1,1.7
mai_Deva,23.9,1.3
maj_Latn,37.7,1.5
mak_Latn,25.5,0.7
mal_Mlym,339.6,5.3
mam_Latn,125.6,3.6
maq_Latn,3.9,2.2
mar_Deva,157.3,3.7
mau_Latn,58.1,9.4
maw_Latn,21.9,3.3
max_Latn,5.8,7.3
maz_Latn,30.9,2.7
mbb_Latn,27.5,0.6
mbc_Latn,63.3,1.0
mbh_Latn,29.4,1.3
mbj_Latn,48.4,1.4
mbt_Latn,22.5,0.4
mbu_Latn,41.0,2.5
mbz_Latn,0.6,5.0
mca_Latn,23.3,6.5
mcb_Latn,34.9,0.6
mcd_Latn,64.6,2.6
mcf_Latn,7.3,5.6
mco_Latn,47.0,4.2
mcp_Latn,40.8,2.8
mcq_Latn,45.9,1.6
mcu_Latn,23.6,2.1
mcx_Latn,7.0,9.7
mda_Latn,29.5,2.1
mdd_Latn,7.0,3.4
mdf_Cyrl,0.3,14.8
mdv_Latn,1.6,1.9
mdy_Ethi,19.3,1.7
med_Latn,48.5,1.5
mee_Latn,4.1,2.2
meh_Latn,6.1,11.0
mej_Latn,72.0,0.6
mek_Latn,6.0,23.0
mel_Latn,6.3,16.4
men_Latn,24.7,4.1
meq_Latn,26.1,2.5
